;name;unit;threshold;WUH_measured;name;unit;threshold;TIE_measured;name;unit;threshold;TEG_measured;name;unit;threshold;STO_measured;name;unit;threshold;SPA_measured;name;unit;threshold;KAU_measured;name;unit;threshold;BEE_measured;name;unit;threshold;KLA_measured
17;Bor;mg/l;1,0;0,13;Bor;mg/l;1,0;0,054;Bor;mg/l;1,0;0,10;Bor;mg/l;1,0;0,061;Bor;mg/l;1,0;0,049;Bor;mg/l;1,0;0,070;Bor;mg/l;1,0;0,070;Bor;mg/l;1,0;0,057
18;Chrom;mg/l;0,05;0,001;Chrom;mg/l;0,05;0,001;Chrom;mg/l;0,05;0,001;Chrom;mg/l;0,05;0,001;Chrom;mg/l;0,05;0,001;Chrom;mg/l;0,05;0,001;Chrom;mg/l;0,05;<0,001;Chrom;mg/l;0,05;<0,001
19;1,2-Dichlorethan;mg/l;0,003;0,0005;1,2-Dichlorethan;mg/l;0,003;0,0005;1,2-Dichlorethan;mg/l;0,003;0,0005;1,2-Dichlorethan;mg/l;0,003;0,0005;1,2-Dichlorethan;mg/l;0,003;0,0005;1,2-Dichlorethan;mg/l;0,003;0,0005;1,2-Dichlorethan;mg/l;0,003;<0,0005;1,2-Dichlorethan;mg/l;0,003;<0,0005
20;Fluorid;mg/l;1,5;0,28;Fluorid;mg/l;1,5;0,15;Fluorid;mg/l;1,5;0,23;Fluorid;mg/l;1,5;0,19;Fluorid;mg/l;1,5;0,17;Fluorid;mg/l;1,5;0,23;Fluorid;mg/l;1,5;0,20;Fluorid;mg/l;1,5;0,19
21;Nitrat;mg/l;50,00;4,21;Nitrat;mg/l;50,00;3,90;Nitrat;mg/l;50,00;3,54;Nitrat;mg/l;50,00;3,05;Nitrat;mg/l;50,00;1,15;Nitrat;mg/l;50,00;1,37;Nitrat;mg/l;50,00;3,36;Nitrat;mg/l;50,00;2,52
22;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;0.00017;Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt;mg/l;0.0005;0.00017
23;a-HCH;mg/l;0,0001;0,00001;a-HCH;mg/l;0,0001;0,00001;a-HCH;mg/l;0,0001;0,00001;a-HCH;mg/l;0,0001;0,00001;a-HCH;mg/l;0,0001;0,00001;a-HCH;mg/l;0,0001;0,00001;a-HCH;mg/l;0,0001;<0,00001;a-HCH;mg/l;0,0001;<0,00001
24;b-HCH;mg/l;0,0001;0,00001;b-HCH;mg/l;0,0001;0,00001;b-HCH;mg/l;0,0001;0,00001;b-HCH;mg/l;0,0001;0,00001;b-HCH;mg/l;0,0001;0,00001;b-HCH;mg/l;0,0001;0,00001;b-HCH;mg/l;0,0001;<0,00001;b-HCH;mg/l;0,0001;<0,00001
25;g-HCH;mg/l;0,0001;0,00001;g-HCH;mg/l;0,0001;0,00001;g-HCH;mg/l;0,0001;0,00001;g-HCH;mg/l;0,0001;0,00001;g-HCH;mg/l;0,0001;0,00001;g-HCH;mg/l;0,0001;0,00001;g-HCH;mg/l;0,0001;<0,00001;g-HCH;mg/l;0,0001;<0,00001
26;d-HCH;mg/l;0,0001;0,00001;d-HCH;mg/l;0,0001;0,00001;d-HCH;mg/l;0,0001;0,00001;d-HCH;mg/l;0,0001;0,00001;d-HCH;mg/l;0,0001;0,00001;d-HCH;mg/l;0,0001;0,00001;d-HCH;mg/l;0,0001;<0,00001;d-HCH;mg/l;0,0001;<0,00001
